"CEFR","Grammar Point",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,"Answer1","Answer2","Answer3","Answer4","Answer5","Answer6","Answer7","Answer8","Answer9","Answer10","Answer11","Answer12","Answer13","Answer14","Answer15","Answer16","Answer17","Answer18","Answer19","Answer20"
"A1","Imperative sentences","______ the window, please.","______ your hands before eating.","______ quiet in the library.","______ the door when you leave.","______ me your book.","______ careful on the stairs.","______ the lights off.","______ your homework now.","______ to your teacher.","______ the table after dinner.","______ your bag on the floor.","______ fast to catch the bus.","______ the music down.","______ a pencil from the box.","______ your shoes by the door.","______ your seatbelt.","______ the letter to me.","______ the TV off.","______ in line, please.","______ water before drinking.","Open","Wash","Be","Close","Show","Be","Turn","Do","Listen","Clear","Put","Run","Turn","Take","Leave","Fasten","Give","Switch","Stand","Drink"
"A1","Can / cannot","She ______ swim.","He ______ play the piano.","I ______ ride a bike.","They ______ speak English.","We ______ run fast.","You ______ read this book.","It ______ fly.","She ______ draw very well.","He ______ drive a car.","I ______ cook dinner.","They ______ open the door.","We ______ solve the problem.","You ______ sing.","She ______ lift this box.","He ______ write neatly.","I ______ understand this.","They ______ play football.","We ______ catch the ball.","She ______ play chess.","He ______ answer the question.","can","can","can","can","can","can","can","can","can","can","can","can","can","can","can","can","can","can","can","can"
"A2","Nouns in groups","A ______ of grapes is on the table.","A ______ of birds flew over the park.","A ______ of students are in the classroom.","A ______ of books is on the shelf.","A ______ of sheep is in the field.","A ______ of keys is on the desk.","A ______ of cars is in the parking lot.","A ______ of flowers is in the vase.","A ______ of apples is in the basket.","A ______ of dogs ran in the park.","A ______ of chairs is in the hall.","A ______ of fish is in the tank.","A ______ of stars is visible tonight.","A ______ of people waited at the station.","A ______ of coins is on the table.","A ______ of letters arrived today.","A ______ of clouds covered the sky.","A ______ of musicians played at the concert.","A ______ of lions slept under the tree.","A ______ of pencils is on the desk.","bunch","flock","class","stack","flock","bunch","fleet","bouquet","basket","pack","row","school","cluster","crowd","pile","collection","group","band","pride","set"
"A1","Present continuous (duplicate removed; using future meaning)","I ______ meeting him tomorrow.","She ______ visiting her grandmother next week.","They ______ going to the cinema tonight.","He ______ playing football on Saturday.","We ______ having a party on Sunday.","You ______ seeing the doctor at 3 p.m.","It ______ raining later today.","I ______ starting my new job on Monday.","She ______ cooking dinner tonight.","They ______ leaving early tomorrow.","He ______ meeting his friends after class.","We ______ traveling next month.","You ______ attending the meeting.","I ______ buying a new laptop tomorrow.","She ______ taking the train to the city.","They ______ practicing for the concert.","He ______ finishing his homework later.","We ______ planting flowers in the garden.","You ______ watching the new movie tonight.","I ______ calling my friend this evening.","am","is","are","is","are","are","is","am","is","are","is","are","are","am","is","are","is","are","are","am"
"A2","Who (question word)","______ is that man?","______ called you yesterday?","______ is knocking at the door?","______ told you the news?","______ is your best friend?","______ is sitting over there?","______ invited you to the party?","______ is playing the guitar?","______ helped you with your homework?","______ is wearing the red hat?","______ is the teacher of this class?","______ phoned you last night?","______ is responsible for this project?","______ is speaking now?","______ is next in line?","______ answered the question?","______ is standing at the window?","______ did you meet at the park?","______ is going to the market?","______ is coming to the meeting?","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who","Who"
"B1","Who (relative pronoun)","The woman ______ lives next door is a doctor.","The man ______ helped me is very kind.","The teacher ______ teaches English is strict.","The boy ______ won the race is my cousin.","The singer ______ performed last night was amazing.","The student ______ answered first was confident.","The author ______ wrote this book is famous.","The player ______ scored the goal is my friend.","The doctor ______ treated me is friendly.","The woman ______ called yesterday is my aunt.","The man ______ lives in that house is a lawyer.","The actor ______ plays the main role is talented.","The girl ______ sings in the choir is my neighbor.","The student ______ studies hard will pass.","The person ______ organized the event did a great job.","The woman ______ owns the shop is kind.","The man ______ fixed my car is reliable.","The boy ______ helped me carries my bag.","The teacher ______ explained the lesson clearly is helpful.","The man ______ called this morning is my uncle.","who","who","who","who","who","who","who","who","who","who","who","who","who","who","who","who","who","who","who","who"
"A2","Possessive case of nouns","This is ______ car.","That is ______ house.","I like ______ dog.","We visited ______ school.","She borrowed ______ pen.","He painted ______ room.","They cleaned ______ bikes.","I saw ______ mother yesterday.","She called ______ brother.","He fixed ______ computer.","We enjoyed ______ party.","The cat played with ______ toy.","I borrowed ______ book.","They watched ______ friends’ movie.","He showed ______ pictures.","She opened ______ bag.","I visited ______ grandmother.","They painted ______ house.","He borrowed ______ shoes.","She admired ______ garden.","John’s","Mary’s","my","our","her","his","their","my","her","his","our","its","my","their","his","her","my","their","his","her"
"A1","Simple present – affirmative","They ______ to school by bus.","She ______ coffee every morning.","I ______ English at school.","He ______ football on Sundays.","We ______ lunch at 1 p.m.","You ______ books every day.","It ______ a lot of noise here.","They ______ in the park.","She ______ her homework.","I ______ to music.","He ______ TV in the evening.","We ______ water every day.","You ______ fast.","They ______ on Fridays.","She ______ the piano.","I ______ my friends on weekends.","He ______ his bike to work.","We ______ milk.","You ______ every Sunday.","They ______ their dog.","go","drinks","study","plays","have","read","makes","walk","does","listen","watches","drink","run","work","plays","meet","rides","drink","walk","feed"
"A1","Simple present – neg. / interrogative","___ you like pizza?","She ___ drink coffee every morning.","___ he play football?","They ___ go to school by bus.","___ we have enough time?","I ___ need help.","___ it rain often here?","You ___ read this book.","___ she watch TV in the evening?","He ___ study English.","___ they enjoy music?","We ___ eat lunch now.","___ I open the window?","You ___ understand the question.","___ she like chocolate?","He ___ ride a bike.","___ they live in this town?","We ___ watch the movie tonight.","___ I call my friend?","It ___ work properly.","Do","doesn’t","Does","don’t","Do","don’t","Does","don’t","Does","doesn’t","Do","don’t","Do","don’t","Does","doesn’t","Do","don’t","Do","doesn’t"
"A2","Too / Either","I can’t go, and he can’t ______.","She doesn’t like pizza, and I don’t ______.","He isn’t coming, and we aren’t ______.","They didn’t finish, and I didn’t ______.","I haven’t seen the movie, and she hasn’t ______.","You don’t need it, and I don’t ______.","He can’t swim, and she can’t ______.","I don’t want tea, and he doesn’t ______.","She hasn’t done her homework, and I haven’t ______.","We aren’t ready, and they aren’t ______.","I don’t like cats, and he doesn’t ______.","He isn’t listening, and she isn’t ______.","I can’t reach it, and you can’t ______.","They don’t agree, and we don’t ______.","She can’t come, and he can’t ______.","I haven’t met him, and she hasn’t ______.","He doesn’t know, and I don’t ______.","I’m not going, and they aren’t ______.","She can’t open it, and I can’t ______.","They don’t want it, and we don’t ______.","either","either","either","either","either","either","either","either","either","either","either","either","either","either","either","either","either","either","either","either"
"A2","Have to","I ______ finish my homework.","She ______ go to school every day.","We ______ clean our room.","He ______ study for the test.","They ______ wake up early.","You ______ bring your ID.","I ______ call my mother.","She ______ take the bus.","We ______ submit the report.","He ______ practice piano.","They ______ do their chores.","You ______ pay the bills.","I ______ buy groceries.","She ______ read the book.","We ______ attend the meeting.","He ______ exercise daily.","They ______ finish the project.","You ______ wear a uniform.","I ______ send an email.","She ______ visit the doctor.","have to","has to","have to","has to","have to","have to","have to","has to","have to","has to","have to","have to","have to","has to","have to","has to","have to","have to","have to","has to"
"A1","To be (age)","She ______ 10 years old.","He ______ 8 years old.","I ______ 12 years old.","They ______ 9 years old.","We ______ 11 years old.","You ______ 7 years old.","It ______ 5 years old.","She ______ 6 years old.","He ______ 13 years old.","I ______ 14 years old.","They ______ 10 years old.","We ______ 15 years old.","You ______ 12 years old.","She ______ 9 years old.","He ______ 11 years old.","I ______ 13 years old.","They ______ 8 years old.","We ______ 14 years old.","You ______ 10 years old.","She ______ 7 years old.","is","is","am","are","are","are","is","is","is","am","are","are","are","is","is","am","are","are","are","is"
"A1","Personal pronouns","______ am learning English.","______ is my friend.","______ are happy today.","______ love pizza.","______ is reading a book.","______ are playing outside.","______ like music.","______ is cooking dinner.","______ are watching TV.","______ am going to school.","______ is sleeping.","______ are eating lunch.","______ like ice cream.","______ is studying.","______ are dancing.","______ like football.","______ is swimming.","______ are listening to music.","______ like painting.","______ is talking on the phone.","I","He","We","I","She","They","We","She","They","I","He","We","I","She","They","We","He","They","I","She"
"A2","One another / each other","They love ______.","We help ______ every day.","The friends called ______ yesterday.","The students share books with ______.","The neighbors greet ______.","My siblings fight with ______ sometimes.","The teachers support ______.","The team congratulated ______.","The couple look after ______.","The children play with ______.","The classmates copied from ______.","The friends text ______ often.","They laughed at ______ jokes.","We asked ______ questions.","The players passed the ball to ______.","The colleagues respect ______.","The family members care for ______.","The roommates borrow from ______.","The team encourages ______.","The neighbors invite ______ to parties.","each other","one another","each other","one another","each other","one another","each other","one another","each other","each other","one another","each other","one another","each other","each other","one another","each other","one another","each other","one another"
"A2","What a/an - How!","______ wonderful day!","______ beautiful sunset!","______ amazing show!","______ delicious meal!","______ lovely weather!","______ exciting match!","______ fantastic trip!","______ lovely garden!","______ interesting book!","______ great idea!","______ funny joke!","______ excellent performance!","______ brilliant plan!","______ lovely party!","______ incredible view!","______ nice surprise!","______ amazing opportunity!","______ wonderful experience!","______ fantastic news!","______ lovely painting!","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a","What a"
"A2","Simple past tense","They ______ the movie yesterday.","She ______ her homework last night.","I ______ to the store yesterday.","He ______ football on Sunday.","We ______ a cake for her birthday.","You ______ late for the meeting.","It ______ very cold yesterday.","They ______ to the park last week.","She ______ a letter to her friend.","I ______ my keys yesterday.","He ______ a book last night.","We ______ dinner together.","You ______ the bus yesterday.","They ______ a new song.","She ______ her room yesterday.","I ______ a phone call yesterday.","He ______ the test.","We ______ a movie last night.","You ______ breakfast early.","They ______ a present for him.","watched","did","went","played","baked","were","was","walked","wrote","lost","read","had","missed","sang","cleaned","made","took","watched","ate","bought"
"B1","Beside / Besides","She sat ______ her best friend during the class.","The lamp is ______ the bed.","There is a small park ______ the river.","He stood ______ his mother in the photo.","The dog sleeps ______ the fireplace.","I put my bag ______ the chair.","A beautiful garden is ______ the house.","She placed her phone ______ her notebook.","The teacher stood ______ the blackboard.","He parked his car ______ mine.","______ English, she speaks French and Spanish.","I don’t want to go out; ______, it’s raining.","______ pizza, they ordered some salads.","No one came to the meeting ______ the manager.","______ studying, he works part-time.","I have no money, and ______, I’m very tired.","______ football, he likes basketball and tennis.","There’s nothing to do here, ______ walking in the park.","______ her, nobody knows the answer.","He doesn’t like horror movies; ______, he is scared easily.","beside","beside","beside","beside","beside","beside","beside","beside","beside","beside","besides","besides","besides","besides","besides","besides","besides","besides","besides","besides"
"B1","Past continuous tense","They ______ sleeping when I called.","I ______ reading a book at 8 pm.","He ______ playing football all afternoon.","She ______ cooking dinner when I arrived.","We ______ watching TV yesterday.","You ______ studying at 10 pm last night.","The kids ______ playing in the garden.","He ______ driving to work when it started raining.","She ______ listening to music when I knocked.","I ______ walking home at that time.","They ______ eating breakfast at 7 am.","We ______ talking on the phone.","He ______ writing an email when she came.","She ______ dancing at the party.","I ______ sleeping when the phone rang.","You ______ working on your project.","The dog ______ barking loudly.","They ______ swimming in the pool.","He ______ reading the newspaper.","She ______ cleaning her room.","were","was","was","was","were","were","were","was","was","was","were","were","was","was","was","were","was","were","was","was"
"A1","Possessive adjectives/pronouns","This is ______ book.","That is ______ car.","I like ______ house.","She loves ______ dog.","We cleaned ______ room.","He found ______ wallet.","They lost ______ keys.","You need ______ coat.","It’s ______ toy.","I can’t find ______ pen.","She borrowed ______ umbrella.","He is proud of ______ son.","We are moving to ______ new apartment.","You should bring ______ notebook.","I will visit ______ grandmother.","This is not ______ problem.","They decorated ______ house.","She broke ______ phone.","He is fixing ______ bike.","That belongs to ______ friend.","my","your","my","her","our","his","their","your","its","my","her","his","our","your","my","your","their","her","his","my"
"B1","Rob / Steal","Someone ______ my wallet.","They ______ the bank last night.","He ______ a watch from the shop.","She ______ the money from the drawer.","Thieves ______ the museum yesterday.","He ______ my idea.","Someone ______ my bag at school.","They ______ the painting from the gallery.","He ______ her phone.","The kids ______ the cookies.","Thieves ______ the jewelry.","Someone ______ the laptop.","He ______ the documents.","She ______ his lunch.","They ______ my bicycle.","He ______ my identity.","Someone ______ my shoes.","Thieves ______ the cash.","He ______ my keys.","She ______ the painting.","stole","robbed","stole","robbed","robbed","stole","stole","robbed","stole","stole","robbed","stole","stole","stole","stole","robbed","stole","robbed","stole","stole"
"A2","Possessive case of nouns ","The ______ color is blue.","I like my ______ dog.","That is my sister ______ house.","We borrowed our neighbor ______ bicycle.","She found the teacher ______ pen.","He cleaned his brother ______ room.","I admired the artist ______ painting.","This is my mother ______ bag.","She opened her father ______ door.","He repaired his cousin ______ bike.","The cat chased the baby ______ toy.","We watched our friend ______ movie.","He read his brother ______ book.","They visited their aunt ______ garden.","She painted her teacher ______ classroom.","I borrowed my neighbor ______ ladder.","He fixed his father ______ car.","We enjoyed our cousin ______ party.","She cleaned her sister ______ kitchen.","He returned the neighbor ______ tools.","car’s","friend’s","sister’s","neighbor’s","teacher’s","brother’s","artist’s","mother’s","father’s","cousin’s","baby’s","friend’s","brother’s","aunt’s","teacher’s","neighbor’s","father’s","cousin’s","sister’s","neighbor’s"
"B2","Double possessive","She is a good friend ______.","That book is a gift ______.","He is a colleague ______.","This painting is a copy ______.","She is a cousin ______.","He is a mentor ______.","That car is a present ______.","She is a neighbor ______.","He is a partner ______.","This idea is a suggestion ______.",,,,,,,,,,,"of mine","of hers","of his","of theirs","of hers","of his","of ours","of hers","of his","of theirs",,,,,,,,,,
"B1","Reflexive / emphasizing pronouns","He did it ______.","She made the cake ______.","I painted the room ______.","They solved the problem ______.","We organized the party ______.","You can help yourself ______.","The cat cleaned ______.","He looked at himself ______.","She enjoyed ______ at the party.","I taught myself ______.","They blamed themselves ______.","We congratulated ourselves ______.","He injured himself ______.","She dressed ______ quickly.","I promised myself ______.","He prepared the meal ______.","She read the book ______.","I enjoyed ______ at the concert.","They reminded themselves ______.","We introduced ourselves ______.","himself","herself","myself","themselves","ourselves","yourself","itself","himself","herself","myself","themselves","ourselves","himself","herself","myself","himself","herself","myself","themselves","ourselves"
"B1","Gerund after prepositions","She left without ______ goodbye.","He apologized for ______ late.","They succeeded in ______ the task.","I am interested in ______ new languages.","She insisted on ______ her opinion.","He is afraid of ______ in public.","We talked about ______ the problem.","I look forward to ______ you.","She is good at ______ puzzles.","They accused him of ______ the rules.","We are tired of ______ the same mistakes.","He dreams of ______ a musician.","I am worried about ______ getting lost.","She is excited about ______ to Italy.","They are capable of ______ the project alone.","I am committed to ______ every day.","She confessed to ______ the truth.","He succeeded in ______ his fears.","We objected to ______ unfairly treated.","She apologized for ______ late.","saying","being","completing","learning","giving","speaking","arguing","seeing","solving","breaking","making","getting","traveling","finishing","leading","working","telling","overcoming","being","arriving"
"A2","Much / Many","How ______ apples do you have?","How ______ milk is in the fridge?","How ______ books are on the shelf?","How ______ sugar do you need?","How ______ chairs are in the room?","How ______ water do we need?","How ______ pens are in the box?","How ______ bread is left?","How ______ oranges did you buy?","How ______ rice do we have?","How ______ students are in your class?","How ______ money do you have?","How ______ bottles are on the table?","How ______ homework do you have?","How ______ sandwiches are in the bag?","How ______ juice is in the bottle?","How ______ friends do you have?","How ______ cheese is in the fridge?","How ______ chairs are outside?","How ______ tea do you want?","many","much","many","much","many","much","many","much","many","much","many","much","many","much","many","much","many","much","many","much"
"A2","Little / Few","I have ______ money left.","There are ______ apples in the basket.","She has ______ friends in this town.","We have ______ sugar for the recipe.","He has ______ books on the shelf.","I drank ______ water this morning.","They have ______ chairs in the room.","She has ______ patience with children.","I bought ______ oranges at the market.","There is ______ milk in the fridge.","We have ______ toys for the party.","He has ______ homework today.","She has ______ coins in her purse.","I have ______ energy after work.","They have ______ pens in the box.","We have ______ bread left.","He has ______ ideas for the project.","She has ______ coffee in the cup.","I saw ______ birds in the garden.","We have ______ time to finish.","little","few","few","little","few","little","few","little","few","little","few","little","few","little","few","little","few","little","few","little"
"A2","A little / A few","I need ______ minutes.","She bought ______ apples.","There is ______ milk in the fridge.","We have ______ chairs in the room.","He has ______ money left.","I need ______ sugar for the tea.","They have ______ friends coming.","She wants ______ juice.","I have ______ pencils in my bag.","There is ______ bread on the table.","He needs ______ time to finish.","We bought ______ oranges.","She poured ______ water into the glass.","I saw ______ birds in the garden.","They have ______ coins in the jar.","I need ______ eggs for the recipe.","She has ______ ideas for the project.","We have ______ chairs in the kitchen.","He added ______ salt to the soup.","I found ______ books in the library.","a few","a few","a little","a few","a little","a little","a few","a little","a few","a little","a little","a few","a little","a few","a few","a few","a few","a few","a little","a few"
"B1","Too much / Too many","There are ______ people here.","He put ______ sugar in the coffee.","She has ______ books on her desk.","There is ______ water in the bottle.","We ate ______ cakes at the party.","I drank ______ coffee this morning.","They have ______ chairs in the room.","She spent ______ money on clothes.","There are ______ cars in the street.","He ate ______ chocolate.","I saw ______ students in the hall.","We bought ______ apples at the market.","She added ______ salt to the soup.","There is ______ milk left.","He has ______ homework to do.","I have ______ friends in town.","They put ______ juice in the fridge.","There is ______ noise outside.","She owns ______ dresses.","We have ______ bread in the basket.","too many","too much","too many","too much","too many","too much","too many","too much","too many","too much","too many","too many","too much","too much","too much","too many","too much","too much","too many","too much"
"B1","So much / many","She has ______ work today.","He ate ______ food at lunch.","There are ______ people in the room.","I have ______ homework to do.","She has ______ friends in the class.","He spent ______ money on clothes.","We have ______ chairs in the hall.","She drank ______ water after running.","There are ______ cars on the street.","I bought ______ books yesterday.","They have ______ apples in the basket.","He did ______ exercises in the gym.","She owns ______ dresses.","We have ______ sugar for the cake.","I have ______ ideas for the project.","They made ______ mistakes in the report.","She found ______ coins on the street.","There is ______ milk in the fridge.","He received ______ letters today.","We have ______ chairs in the kitchen.","so much","so much","so many","so much","so many","so much","so many","so much","so many","so many","so many","so much","so many","so much","so many","so many","so many","so much","so many","so many"
"A2","How much / many","______ water do we need?","______ apples are in the basket?","______ sugar is in the jar?","______ chairs are in the room?","______ milk is in the fridge?","______ oranges did you buy?","______ rice do we have?","______ pens are on the desk?","______ bread is left?","______ bottles are on the table?","______ students are in your class?","______ money do you have?","______ books are on the shelf?","______ juice is in the bottle?","______ friends do you have?","______ cheese is in the fridge?","______ chairs are outside?","______ tea do you want?","______ cookies are in the jar?","______ butter is in the fridge?","How much","How many","How much","How many","How much","How many","How much","How many","How much","How many","How many","How much","How many","How much","How many","How much","How many","How much","How many","How much"
"B2","Omission of “that”","She said ______ she was tired.","He told me ______ he would come.","I thought ______ it was a good idea.","They mentioned ______ they were leaving.","She promised ______ she would help.","He believes ______ he can do it.","I knew ______ it was dangerous.","We assumed ______ they were ready.","She admitted ______ she was wrong.","He explained ______ he was late.","I remembered ______ I had an appointment.","They reported ______ the meeting was canceled.","She told him ______ she was busy.","He assumed ______ it was fine.","I realized ______ I forgot my wallet.","We thought ______ it was necessary.","She claimed ______ she saw it first.","He mentioned ______ he was nervous.","I believed ______ it was true.","They agreed ______ it was correct.","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit","that/omit"
"B2","Different uses of “one” (numerical / general / pronoun)","I need ______ more day.","She bought ______ apple at the market.","He waited for ______ hour.","We have only ______ chance left.","______ must be careful when crossing the street.","One can’t live without love.","Choose ______ from the list.","I lost that ______.","This ______ is mine.","Can you give me the red ______?","That ______ over there is old.","I prefer the bigger ______.","I read ______ book last week.","He found ______ coin on the floor.","Take ______ letter from the envelope.","Which ______ do you want?","She wants ______ slice of cake.","He drank ______ glass of water.","I saw a similar ______ yesterday.","I completed ______ task.","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one","one"
"C1","Indefinite personal “one”","______ should always be honest.","______ must take responsibility for their actions.","______ cannot ignore the consequences of their choices.","______ should respect other people’s opinions.","______ must keep promises made to others.","______ should learn from their mistakes.","______ must plan carefully before making decisions.","______ cannot rely on luck alone.","______ should consider the long-term effects of their actions.","______ must remain calm in difficult situations.","______ should adapt to change when necessary.","______ must be aware of cultural differences.","______ should take care of their health.","______ must act ethically in professional life.","______ should strive to improve continuously.","______ must be mindful of their language and tone.","______ should listen carefully before responding.","______ must balance work and personal life.","______ should express opinions clearly.","______ must respect rules and regulations.","One","One","One","One","One","One","One","One","One","One","One","One","One","One","One","One","One","One","One","One"
"B1","Indefinite pronouns","______ called you last night.","I need ______ to help me.","Did ______ see my keys?","______ is waiting outside.","There’s ______ at the door.","I don’t want ______ to know.","______ told me the news.","Can ______ explain this to me?","______ was happy about the results.","I met ______ interesting yesterday.","I don’t have ______ to write with.","______ can join the meeting.","______ has been using my computer.","I would like ______ to answer.","______ knows the answer.","I saw ______ in the park.","______ will help you if you ask.","Did ______ call while I was out?","I’m looking for ______ special.","______ is responsible for this.","Someone","Someone","Anyone","Everyone","Someone","Anyone","Someone","Anyone","Everyone","Someone","Anyone","Anyone","Someone","Someone","Everyone","Someone","Anyone","Anyone","Someone","Someone"
"A2","Adverbs of Manner","She sings ______.","He runs ______.","She writes ______.","He speaks ______.","The baby sleeps ______.","The dog barked ______.","They danced ______.","He answered the question ______.","She smiled ______.","The teacher explained ______.","I cooked ______.","He drove ______.","The children played ______.","She studied ______.","He jumped ______.","She painted ______.","The cat moved ______.","He laughed ______.","She listened ______.","They worked ______.","beautifully","quickly","neatly","clearly","peacefully","loudly","gracefully","correctly","happily","carefully","well","fast","noisily","attentively","high","carefully","silently","heartily","attentively","hard"
