STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl
2,2. HIS HANDS ARE DIRTY.,2. AS MÃOS DELE ESTÃO SUJAS.,2. SUS MANOS ESTÁN SUCIAS.,2. LE SUE MANI SONO SPORCHE.,2. SES MAINS SONT SALES.,2. SEINE HÄNDE SIND SCHMUTZIG.,2. 彼の手は汚れています。,2. かれのてはよごれています。,2. KARE NO TE WA YOGORETE IMASU.,2. ZIJN HANDEN ZIJN VUIL.
2,3. HE WALKS TO THE SINK.,3. ELE CAMINHA ATÉ A PIA.,3. ÉL CAMINA HACIA EL LAVABO.,3. LUI CAMMINA AL LAVABO.,3. IL MARCHE VERS LE LAVABO.,3. ER GEHT ZUM WASCHBECKEN.,3. 彼はシンクに歩きます。,3. かれはシンクにあるきます。,3. KARE WA SHINKU NI ARUKIMASU.,3. HIJ LOOPT NAAR DE GOOTSTEEN.
2,4. HE TURNS ON THE FAUCET.,4. ELE ABRE A TORNEIRA.,4. ÉL ABRE EL GRIFO.,4. LUI APRE LO RUBINETTO.,4. IL OUVRE LE ROBINET.,4. ER DREHT DEN WASSERHAHN AUF.,4. 彼は蛇口をひねります。,4. かれはじゃぐちをひねります。,4. KARE WA JAGUCHI O HINERIMASU.,4. HIJ DRAAIT DE KRAAN OPEN.
2,5. HE PICKS UP THE SOAP.,5. ELE PEGA O SABONETE.,5. ÉL TOMA EL JABÓN.,5. LUI PRENDE IL SAPONE.,5. IL PREND LE SAVON.,5. ER NIMMT DIE SEIFE.,5. 彼は石鹸を取ります。,5. かれはせっけんをとります。,5. KARE WA SEKKEN O TORIMASU.,5. HIJ PAKT DE ZEEP.
2,6. HE PICKS UP THE SOAP.,6. ELE PEGA O SABONETE.,6. ÉL TOMA EL JABÓN.,6. LUI PRENDE IL SAPONE.,6. IL PREND LE SAVON.,6. ER NIMMT DIE SEIFE.,6. 彼は石鹸を取ります。,6. かれはせっけんをとります。,6. KARE WA SEKKEN O TORIMASU.,6. HIJ PAKT DE ZEEP.
2,7. HE WASHES HIS HANDS WITH THE SOAP.,7. ELE LAVA AS MÃOS COM O SABONETE.,7. ÉL SE LAVA LAS MANOS CON EL JABÓN.,7. LUI SI LAVA LE MANI CON IL SAPONE.,7. IL SE LAVE LES MAINS AVEC LE SAVON.,7. ER WÄSCHT SEINE HÄNDE MIT DER SEIFE.,7. 彼は石鹸で手を洗います。,7. かれはせっけんでてをあらいます。,7. KARE WA SEKKEN DE TE O ARAIMASU.,7. HIJ WAST ZIJN HANDEN MET ZEEP.
2,8. HE PUTS DOWN THE SOAP.,8. ELE POÕE O SABONETE DE VOLTA.,8. ÉL DEJA EL JABÓN.,8. LUI RIPONE IL SAPONE.,8. IL REPOSE LE SAVON.,8. ER LEGT DIE SEIFE ZURÜCK.,8. 彼は石鹸を戻します。,8. かれはせっけんをもどします。,8. KARE WA SEKKEN O MODOSU.,8. HIJ ZET DE ZEEP TERUG.
2,9. HE RINSES HIS HANDS,9. ELE ENXAGUA AS MÃOS.,9. ÉL SE ENJUAGA LAS MANOS.,9. LUI SCIACQUA LE MANI.,9. IL SE RINCE LES MAINS.,9. ER SPÜLT SEINE HÄNDE.,9. 彼は手をゆすぎます。,9. かれはてをゆすぎます。,9. KARE WA TE O YUSUGIMASU.,9. HIJ SPOELT ZIJN HANDEN.
2,10. HE TURNS OFF THE FAUCET.,10. ELE DESLIGA A TORNEIRA.,10. ÉL CIERRA EL GRIFO.,10. LUI CHIUDE IL RUBINETTO.,10. IL FERME LE ROBINET.,10. ER DREHT DEN WASSERHAHN ZU.,10. 彼は蛇口を閉めます。,10. かれはじゃぐちをしめます。,10. KARE WA JAGUCHI O SHIMESU.,10. HIJ DRAAIT DE KRAAN DICHT.
2,11. HE GETS THE TOWEL.,11. ELE PEGA A TOALHA.,11. ÉL TOMA LA TOALLA.,11. LUI PRENDE L’ASCIUGAMANO.,11. IL PREND LA SERVIETTE.,11. ER NIMMT DAS HANDTUCH.,11. 彼はタオルを取ります。,11. かれはタオルをとります。,11. KARE WA TAORU O TORIMASU.,11. HIJ PAKT DE HANDDOEK.
2,12. HE DRIES HIS HANDS WITH THE TOWEL.,12. ELE SECA AS MÃOS COM A TOALHA.,12. ÉL SE SECA LAS MANOS CON LA TOALLA.,12. LUI SI ASCIUGA LE MANI CON L’ASCIUGAMANO.,12. IL SE SÈCHE LES MAINS AVEC LA SERVIETTE.,12. ER TROCKNET SEINE HÄNDE MIT DEM HANDTUCH.,12. 彼はタオルで手を乾かします。,12. かれはタオルでてをかわかします。,12. KARE WA TAORU DE TE O KAWAKASHIMASU.,12. HIJ DROOGT ZIJN HANDEN MET DE HANDDOEK.
2,13. HE PUTS BACK THE TOWEL.,13. ELE COLOCA A TOALHA DE VOLTA.,13. ÉL DEVUELVE LA TOALLA.,13. LUI RIPONE L’ASCIUGAMANO.,13. IL REPOSE LA SERVIETTE.,13. ER LEGT DAS HANDTUCH ZURÜCK.,13. 彼はタオルを戻します。,13. かれはタオルをもどします。,13. KARE WA TAORU O MODOSU.,13. HIJ ZET DE HANDDOEK TERUG.
2,14. HIS HANDS ARE CLEAN.,14. AS MÃOS DELE ESTÃO LIMPAS.,14. SUS MANOS ESTÁN LIMPIAS.,14. LE SUE MANI SONO PULITE.,14. SES MAINS SONT PROPRES.,14. SEINE HÄNDE SIND SAUBER.,14. 彼の手はきれいです。,14. かれのてはきれいです。,14. KARE NO TE WA KIREI DESU.,14. ZIJN HANDEN ZIJN SCHOON.
2,15. HE WHISTLES.,15. ELE ASSOBIA.,15. ÉL SILBA.,15. LUI FISCHETTA.,15. IL SIFFLE.,15. ER PFEIFT.,15. 彼は口笛を吹きます。,15. かれはくちぶえをふきます。,15. KARE WA KUCHIBUE O FUKIMASU.,15. HIJ FLOUT.
3,1. SHE IS MARY.,1. ELA É MARY.,1. ELLA ES MARY.,1. LEI È MARY.,1. ELLE EST MARY.,1. SIE IS MARY.,1. 彼女はメアリーです。,1. かのじょはメアリーです。,1. KANOJO WA MEARĪ DESU.,1. ZIJ IS MARY.
3,2. SHE PUTS A CUP ON THE TABLE.,2. ELA COLOCA UM COPO NA MESA.,2. ELLA PONE UN VASO EN LA MESA.,2. LEI METTE UN BICCHIERE SUL TAVOLO.,2. ELLE MET UN VERRE SUR LA TABLE.,2. SIE STELLT EIN GLAS AUF DEN TISCH.,2. 彼女はテーブルにコップを置きます。,2. かのじょはテーブルにコップをおきます。,2. KANOJO WA TĒBURU NI KOPPU O OKIMASU.,2. ZIJ ZET EEN BEKER OP DE TAFEL.
3,3. THE CUP FALLS.,3. O COPO CAI.,3. EL VASO SE CAE.,3. IL BICCHIERE CADE.,3. LE VERRE TOMBE.,3. DAS GLAS FÄLLT.,3. コップが落ちます。,3. コップがおちます。,3. KOPPU GA OCHIMASU.,3. DE BEKER VALT.
3,4. WATER IS ON THE TABLE.,4. HÁ ÁGUA NA MESA.,4. HAY AGUA EN LA MESA.,4. C’È ACQUA SUL TAVOLO.,4. IL Y A DE L’EAU SUR LA TABLE.,4. WASSER IST AUF DEM TISCH.,4. テーブルの上に水があります。,4. テーブルのうえにみずがあります。,4. TĒBURU NO UE NI MIZU GA ARIMASU.,4. ER STAAT WATER OP DE TAFEL.
3,5. SHE STAYS AT THE TABLE.,5. ELA FICA NA MESA.,5. ELLA SE QUEDA EN LA MESA.,5. LEI RESTA AL TAVOLO.,5. ELLE RESTE À LA TABLE.,5. SIE BLEIBT AM TISCH.,5. 彼女はテーブルにいます。,5. かのじょはテーブルにいます。,5. KANOJO WA TĒBURU NI IMASU.,5. ZIJ BLIJFT AAN DE TAFEL.
3,6. SHE CALLS HER MOTHER.,6. ELA CHAMA SUA MÃE.,6. ELLA LLAMA A SU MADRE.,6. LEI CHIAMA SUA MADRE.,6. ELLE APPELLE SA MÈRE.,6. SIE RUFT IHRE MUTTER.,6. 彼女は母を呼びます。,6. かのじょはははをよびます。,6. KANOJO WA HAHA O YOBIMASU.,6. ZIJ RIEPT HAAR MOEDER.
3,7. HER MOTHER COMES.,7. SUA MÃE VEM.,7. SU MADRE VIENE.,7. SUA MADRE VIENE.,7. SA MÈRE VIENT.,7. IHRE MUTTER KOMMT.,7. 母が来ます。,7. ははがきます。,7. HAHA GA KIMASU.,7. HAAR MOEDER KOMT.
3,8. HER MOTHER GETS A TOWEL.,8. SUA MÃE PEGA UMA TOALHA.,8. SU MADRE TOMA UNA TOALLA.,8. SUA MADRE PRENDE UN ASCIUGAMANO.,8. SA MÈRE PREND UNE SERVIETTE.,8. IHRE MUTTER NIMMT EIN HANDTUCH.,8. 母はタオルを取ります。,8. はははタオルをとります。,8. HAHA WA TAORU O TORIMASU.,8. HAAR MOEDER PAKT EEN HANDDOEK.
3,9. SHE WIPES THE TABLE WITH THE TOWEL.,9. ELA LIMPA A MESA COM A TOALHA.,9. ELLA LIMPIA LA MESA CON LA TOALLA.,9. LEI PULISCE IL TAVOLO CON L’ASCIUGAMANO.,9. ELLE NETTOIE LA TABLE AVEC LA SERVIETTE.,9. SIE WISCHT DEN TISCH MIT DEM HANDTUCH.,9. 彼女はタオルでテーブルを拭きます。,9. かのじょはタオルでテーブルをふきます。,9. KANOJO WA TAORU DE TĒBURU O FUKIMASU.,9. ZIJ VEGT DE TAFEL MET DE HANDDOEK.
3,10. THE TABLE IS CLEAN.,10. A MESA ESTÁ LIMPA.,10. LA MESA ESTÁ LIMPIA.,10. IL TAVOLO È PULITO.,10. LA TABLE EST PROPRE.,10. DER TISCH IST SAUBER.,10. テーブルはきれいです。,10. テーブルはきれいです。,10. TĒBURU WA KIREI DESU.,10. DE TAFEL IS SCHOON.
3,11. SHE PUTS THE CUP BACK.,11. ELA COLOCA O COPO DE VOLTA.,11. ELLA PONE EL VASO DE VUELTA.,11. LEI RIPONE IL BICCHIERE.,11. ELLE REMET LE VERRE.,11. SIE STELLT DAS GLAS ZURÜCK.,11. 彼女はコップを戻します。,11. かのじょはコップをもどします。,11. KANOJO WA KOPPU O MODOSU.,11. ZIJ ZET DE BEKER TERUG.
3,12. SHE DRINKS WATER.,12. ELA BEBE ÁGUA.,12. ELLA BEBE AGUA.,12. LEI BEVE ACQUA.,12. ELLE BOIT DE L’EAU.,12. SIE TRINKT WASSER.,12. 彼女は水を飲みます。,12. かのじょはみずをのみます。,12. KANOJO WA MIZU O NOMIMASU.,12. ZIJ DRINKT WATER.
3,13. HER MOTHER SAYS - DON'T SPILL JUICE ON THE TABLE.,13. SUA MÃE DIZ – NÃO DERRAME SUCO NA MESA.,13. SU MADRE DICE – NO DERRAMES JUGO EN LA MESA.,13. SUA MADRE DICE – NON VERSARE SUCCO SUL TAVOLO.,13. SA MÈRE DIT – NE RENVERSEZ PAS LE JUS SUR LA TABLE.,13. IHRE MUTTER SAGT – VERSCHÜTTE KEINEN SAFT AUF DEN TISCH.,13. 母は言います – テーブルにジュースをこぼさないでください。,13. はははいいます – テーブルにジュースをこぼさないでください。,13. HAHA WA IIMASU – TĒBURU NI JŪSU O KOBOSANAIDE KUDASAI.,13. HAAR MOEDER ZEGT – GOOI GEEN SAP OP DE TAFEL.
4,1. JOHN GETS AN APPLE.,1. JOHN PEGA UMA MAÇÃ.,1. JOHN TOMA UNA MANZANA.,1. JOHN PRENDE UNA MELA.,1. JOHN PREND UNE POMME.,1. JOHN NIMMT EINEN APFEL.,1. ジョンはリンゴを取ります。,1. ジョンはリンゴをとります。,1. JON WA RINGO O TORIMASU.,1. JOHN PAKT EEN APPEL.
4,2. HE TAKES A BITE.,2. ELE DÁ UMA MORDIDA.,2. ÉL DA UN BOCADO.,2. LUI DÀ UN MORSETTO.,2. IL PREND UNE BOUCHÉE.,2. ER BEIßT EIN STÜCK AB.,2. 彼は一口かじります。,2. かれはいちくちかじります。,2. KARE WA HITOKUCHI KAJIRIMASU.,2. HIJ NEEMT EEN HAP.
4,3. HE EATS THE APPLE.,3. ELE COME A MAÇÃ.,3. ÉL COME LA MANZANA.,3. LUI MANGIA LA MELA.,3. IL MANGE LA POMME.,3. ER ISST DEN APFEL.,3. 彼はリンゴを食べます。,3. かれはリンゴをたべます。,3. KARE WA RINGO O TABEMASU.,3. HIJ EET DE APPEL.
4,4. HE CHOKES.,4. ELE ENGASGA.,4. ÉL SE ATRAGANTA.,4. LUI SI SOFFOCA.,4. IL S’ÉTOUFFE.,4. ER HÄLT SICH DEN HALS.,4. 彼はむせます。,4. かれはむせます。,4. KARE WA MUSEMASU.,4. HIJ VERSTIKT.
4,5. HE DRINKS WATER.,5. ELE BEBE ÁGUA.,5. ÉL BEBE AGUA.,5. LUI BEVE ACQUA.,5. IL BOIT DE L’EAU.,5. ER TRINKT WASSER.,5. 彼は水を飲みます。,5. かれはみずをのみます。,5. KARE WA MIZU O NOMIMASU.,5. HIJ DRINKT WATER.
4,6. HE DRINKS MORE WATER.,6. ELE BEBE MAIS ÁGUA.,6. ÉL BEBE MÁS AGUA.,6. LUI BEVE PIÙ ACQUA.,6. IL BOIT PLUS D’EAU.,6. ER TRINKT MEHR WASSER.,6. 彼はもっと水を飲みます。,6. かれはもっとみずをのみます。,6. KARE WA MOTTO MIZU O NOMIMASU.,6. HIJ DRINKT MEER WATER.
4,7. HE SWALLOWS.,7. ELE ENGOLE.,7. ÉL TRAGA.,7. LUI DEGLUTISCE.,7. IL AVALLE.,7. ER SCHLUCKT.,7. 彼は飲み込みます。,7. かれはのみこみます。,7. KARE WA NOMIKOMI MASU.,7. HIJ SLIKT.
4,8. HE FEELS BETTER.,8. ELE SE SENTE MELHOR.,8. ÉL SE SIENTE MEJOR.,8. LUI SI SENTE MEGLIO.,8. IL SE SENT MIEUX.,8. ER FÜHLT SICH BESSER.,8. 彼は気分が良くなります。,8. かれはきぶんがよくなります。,8. KARE WA KIBUN GA YOKU NARIMASU.,8. HIJ VOELT ZICH BETER.
4,9. HE SWALLOWS.,9. ELE ENGOLE.,9. ÉL TRAGA.,9. LUI DEGLUTISCE.,9. IL AVALLE.,9. ER SCHLUCKT.,9. 彼は飲み込みます。,9. かれはのみこみます。,9. KARE WA NOMIKOMI MASU.,9. HIJ SLIKT.
4,10. HE FEELS BETTER.,10. ELE SE SENTE MELHOR.,10. ÉL SE SIENTE MEJOR.,10. LUI SI SENTE MEGLIO.,10. IL SE SENT MIEUX.,10. ER FÜHLT SICH BESSER.,10. 彼は気分が良くなります。,10. かれはきぶんがよくなります。,10. KARE WA KIBUN GA YOKU NARIMASU.,10. HIJ VOELT ZICH BETER.
4,11. HE SMILES.,11. ELE SORRI.,11. ÉL SONRÍE.,11. LUI SORRIDE.,11. IL SOURIT.,11. ER LÄCHELT.,11. 彼は笑います。,11. かれはわらいます。,11. KARE WA WARAIMASU.,11. HIJ LACHT.
5,1. JANE GETS A BOWL OF OATMEAL.,1. JANE PEGA UMA TIGELA DE AVEIA.,1. JANE TOMA UN CUENCO DE AVENA.,1. JANE PRENDE UNA CIOTOLA DI AVENA.,1. JANE PREND UN BOL D’AVOINE.,1. JANE NIMMT EINE SCHÜSSEL HAFERFLOCKEN.,1. ジェーンはオートミールを取ります。,1. ジェーンはオートミールをとります。,1. JĒN WA ŌTOMĪRU O TORIMASU.,1. JANE PAKT EEN KOM HAVERMOUT.
5,2. SHE PUTS THE OATMEAL IN THE MICROWAVE.,2. ELA COLOCA A AVEIA NO MICROONDAS.,2. ELLA PONE LA AVENA EN EL MICROONDAS.,2. LEI METTE L’AVENA NEL MICROONDE.,2. ELLE MET L’AVOINE DANS LE MICRO-ONDES.,2. SIE STELLT DIE HAFERFLOCKEN IN DIE MIKROWELLE.,2. ジェーンはオートミールを電子レンジに入れます。,2. ジェーンはオートミールをでんしレンジにいれます。,2. JĒN WA ŌTOMĪRU O DENSHI RENJI NI IREMASU.,2. ZIJ ZET DE HAVERMOUT IN DE MAGNETRON.
5,3. SHE TURNS ON THE MICROWAVE.,3. ELA LIGA O MICROONDAS.,3. ELLA ENCIENDE EL MICROONDAS.,3. LEI ACCENDE IL MICROONDE.,3. ELLE ALLUME LE MICRO-ONDES.,3. SIE SCHALTE DIE MIKROWELLE EIN.,3. ジェーンは電子レンジをつけます。,3. ジェーンはでんしレンジをつけます。,3. JĒN WA DENSHI RENJI O TSUKEMASU.,3. ZIJ ZET DE MAGNETRON AAN.
5,4. SHE WAITS SIXTY SECONDS.,4. ELA ESPERA SESSENTA SEGUNDOS.,4. ELLA ESPERA SESENTA SEGUNDOS.,4. LEI ATTESA SESSANTA SECONDI.,4. ELLE ATTEND SOIXANTE SECONDES.,4. SIE WARTET SECHZIG SEKUNDEN.,4. ジェーンは60秒待ちます。,4. ジェーンはろくじゅうびょうまちます。,4. JĒN WA ROKUJŪ BYŌ MACHIMASU.,4. ZIJ WACHT ZESTIG SECONDEN.
5,5. THE OATMEAL IS READY.,5. A AVEIA ESTÁ PRONTA.,5. LA AVENA ESTÁ LISTA.,5. L’AVENA È PRONTA.,5. L’AVOINE EST PRÊTE.,5. DAS HAFERFLOCKEN SIND FERTIG.,5. オートミールができました。,5. オートミールができました。,5. ŌTOMĪRU GA DEKIMASHITA.,5. DE HAVERMOUT IS KLAAR.
5,6. SHE GETS THE OATMEAL OUT OF THE MICROWAVE.,6. ELA TIRA A AVEIA DO MICROONDAS.,6. ELLA SACA LA AVENA DEL MICROONDAS.,6. LEI TOGLIE L’AVENA DAL MICROONDE.,6. ELLE SORT L’AVOINE DU MICRO-ONDES.,6. SIE NEHMT DIE HAFERFLOCKEN AUS DER MIKROWELLE.,6. ジェーンはオートミールを電子レンジから取り出します。,6. ジェーンはオートミールをでんしレンジからとりだします。,6. JĒN WA ŌTOMĪRU O DENSHI RENJI KARA TORIDASHIMASU.,6. ZIJ NEEMT DE HAVERMOUT UIT DE MAGNETRON.
5,7. SHE PUTS THE OATMEAL ON THE TABLE.,7. ELA COLOCA A AVEIA NA MESA.,7. ELLA PONE LA AVENA EN LA MESA.,7. LEI METTE L’AVENA SUL TAVOLO.,7. ELLE MET L’AVOINE SUR LA TABLE.,7. SIE STELLT DIE HAFERFLOCKEN AUF DEN TISCH.,7. ジェーンはオートミールをテーブルに置きます。,7. ジェーンはオートミールをテーブルにおきます。,7. JĒN WA ŌTOMĪRU O TĒBURU NI OKIMASU.,7. ZIJ ZET DE HAVERMOUT OP DE TAFEL.
5,8. SHE GETS A SPOON AND SUGAR.,8. ELA PEGA UMA COLHER E AÇÚCAR.,8. ELLA TOMA UNA CUCHARA Y AZÚCAR.,8. LEI PRENDE UN CUCCHIAIO E ZUCCHERO.,8. ELLE PREND UNE CUILLÈRE ET DU SUCRE.,8. SIE NEHMT EINEN LÖFFEL UND ZUCKER.,8. ジェーンはスプーンと砂糖を取ります。,8. ジェーンはスプーンとさとうをとります。,8. JĒN WA SUPŪN TO SATŌ O TORIMASU.,8. ZIJ NEEMT EEN LEPEL EN SUIKER.
5,9. SHE PUTS SUGAR IN THE OATMEAL WITH A SPOON.,9. ELA COLOCA AÇÚCAR NA AVEIA COM UMA COLHER.,9. ELLA PONE AZÚCAR EN LA AVENA CON UNA CUCHARA.,9. LEI METTE ZUCCHERO NELL’AVENA CON UN CUCCHIAIO.,9. ELLE MET DU SUCRE DANS L’AVOINE AVEC UNE CUILLÈRE.,9. SIE GEBEN ZUCKER IN DIE HAFERFLOCKEN MIT EINEM LÖFFEL.,9. ジェーンはスプーンでオートミールに砂糖を入れます。,9. ジェーンはスプーンでオートミールにさとうをいれます。,9. JĒN WA SUPŪN DE ŌTOMĪRU NI SATŌ O IREMASU.,9. ZIJ DOET SUIKER IN DE HAVERMOUT MET EEN LEPEL.
5,10. SHE GETS HONEY.,10. ELA PEGA MEL.,10. ELLA TOMA MIEL.,10. LEI PRENDE IL MIELE.,10. ELLE PREND DU MIEL.,10. SIE NEHMT HONIG.,10. ジェーンははちみつを取ります。,10. ジェーンははちみつをとります。,10. JĒN WA HACHIMITSU O TORIMASU.,10. ZIJ NEEMT HONING.
5,11. SHE PUTS HONEY ON THE OATMEAL WITH A SPOON.,11. ELA COLOCA MEL NA AVEIA COM UMA COLHER.,11. ELLA PONE MIEL EN LA AVENA CON UNA CUCHARA.,11. LEI METTE IL MIELE SULL’AVENA CON UN CUCCHIAIO.,11. ELLE MET DU MIEL SUR L’AVOINE AVEC UNE CUILLÈRE.,11. SIE GEBEN HONIG AUF DIE HAFERFLOCKEN MIT EINEM LÖFFEL.,11. ジェーンはスプーンでオートミールに蜂蜜をかけます。,11. ジェーンはスプーンでオートミールにはちみつをかけます。,11. JĒN WA SUPŪN DE ŌTOMĪRU NI HACHIMITSU O KAKEMASU.,11. ZIJ DOET HONING OP DE HAVERMOUT MET EEN LEPEL.
5,12. SHE STIRS THE OATMEAL WITH THE SPOON.,12. ELA MEXE A AVEIA COM A COLHER.,12. ELLA REVUELVE LA AVENA CON LA CUCHARA.,12. LEI MESCOLA L’AVENA CON IL CUCCHIAIO.,12. ELLE REMUE L’AVOINE AVEC LA CUILLÈRE.,12. SIE RÜHRT DIE HAFERFLOCKEN MIT DEM LÖFFEL.,12. ジェーンはスプーンでオートミールをかき混ぜます。,12. ジェーンはスプーンでオートミールをかきまぜます。,12. JĒN WA SUPŪN DE ŌTOMĪRU O KAKIMAZEMASU.,12. ZIJ ROERT DE HAVERMOUT MET DE LEPEL.
5,13. SHE SCOOPS THE OATMEAL.,13. ELA COLOCA AVEIA NA COLHER.,13. ELLA SACA LA AVENA.,13. LEI PRENDE L’AVENA CON IL CUCCHIAIO.,13. ELLE PREND L’AVOINE AVEC UNE CUILLÈRE.,13. SIE NEHMEN EINE PORTION HAFERFLOCKEN.,13. ジェーンはオートミールをすくいます。,13. ジェーンはオートミールをすくいます。,13. JĒN WA ŌTOMĪRU O SUKUIIMASU.,13. ZIJ SCHEPT DE HAVERMOUT.
5,14. SHE GETS ONE SPOON OF OATMEAL.,14. ELA PEGA UMA COLHER DE AVEIA.,14. ELLA TOMA UNA CUCHARA DE AVENA.,14. LEI PRENDE UN CUCCHIAIO DI AVENA.,14. ELLE PREND UNE CUILLÈRE D’AVOINE.,14. SIE NEHMEN EINEN LÖFFEL HAFERFLOCKEN.,14. ジェーンはオートミールを一匙取ります。,14. ジェーンはオートミールをひとさじとります。,14. JĒN WA ŌTOMĪRU O HITOSAJI TORIMASU.,14. ZIJ NEEMT ÉÉN LEPEL HAVERMOUT.
5,15. SHE EATS THE OATMEAL.,15. ELA COME A AVEIA.,15. ELLA COME LA AVENA.,15. LEI MANGIA L’AVENA.,15. ELLE MANGE L’AVOINE.,15. SIE ESSEN DIE HAFERFLOCKEN.,15. ジェーンはオートミールを食べます。,15. ジェーンはオートミールをたべます。,15. JĒN WA ŌTOMĪRU O TABEMASU.,15. ZIJ EET DE HAVERMOUT.
5,16. SHE CHEWS.,16. ELA MASTIGA.,16. ELLA MASTICA.,16. LEI MASTICA.,16. ELLE MÂCHE.,16. SIE KAUEN.,16. ジェーンはかみます。,16. ジェーンはかみます。,16. JĒN WA KAMIMASU.,16. ZIJ KAUT.
