STORY,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI
2,4. HE TURNS ON THE FAUCET.,4. ELE LIGA A TORNEIRA.,4. ÉL ABRE EL GRIFO.,4. LUI APRE IL RUBINETTO.,4. IL OUVRE LE ROBINET.,4. ER DREHT DEN WASSERHAHN AUF.,4. 彼は蛇口をひねる。,14. かれはじゃぐちをひねる。,14. KARE WA JAGUCHI WO HINERU.
2,5. HE PICKS UP THE SOAP.,5. ELE PEGA O SABONETE.,5. ÉL TOMA EL JABÓN.,5. LUI PRENDE IL SAPONE.,5. IL PREND LE SAVON.,5. ER NIMMT DIE SEIFE.,5. 彼は石鹸を手に取る。,15. かれはせっけんをてにとる。,15. KARE WA SEKKEN WO TE NI TORU.
2,6. HE PICKS UP THE SOAP.,6. ELE PEGA O SABONETE.,6. ÉL TOMA EL JABÓN.,6. LUI PRENDE IL SAPONE.,6. IL PREND LE SAVON.,6. ER NIMMT DIE SEIFE.,6. 彼は石鹸を手に取る。,16. かれはせっけんをてにとる。,16. KARE WA SEKKEN WO TE NI TORU.
2,7. HE WASHES HIS HANDS WITH THE SOAP.,7. ELE LAVA AS MÃOS COM O SABONETE.,7. ÉL SE LAVA LAS MANOS CON EL JABÓN.,7. LUI SI LAVA LE MANI CON IL SAPONE.,7. IL SE LAVE LES MAINS AVEC LE SAVON.,7. ER WÄSCHT SEINE HÄNDE MIT DER SEIFE.,7. 彼は石鹸で手を洗う。,17. かれはせっけんでてをあらう。,17. KARE WA SEKKEN DE TE WO ARAU.
2,8. HE PUTS DOWN THE SOAP.,8. ELE PÕE O SABONETE NO LUGAR.,8. ÉL DEJA EL JABÓN.,8. LUI RIPONE IL SAPONE.,8. IL REPOSE LE SAVON.,8. ER LEGT DIE SEIFE ZURÜCK.,8. 彼は石鹸を元の場所に戻す。,18. かれはせっけんをもとのばしょにもどす。,18. KARE WA SEKKEN WO MOTO NO BASHO NI MODOSU.
2,9. HE RINSES HIS HANDS,9. ELE ENXÁGUA AS MÃOS.,9. ÉL SE ENJUAGA LAS MANOS.,9. LUI RISCIACQUA LE MANI.,9. IL RINCE SES MAINS.,9. ER SPÜLT SEINE HÄNDE.,9. 彼は手をすすぐ。,19. かれはてをすすぐ。,19. KARE WA TE WO SUSUGU.
2,10. HE TURNS OFF THE FAUCET.,10. ELE DESLIGA A TORNEIRA.,10. ÉL CIERRA EL GRIFO.,10. LUI CHIUDE IL RUBINETTO.,10. IL FERME LE ROBINET.,10. ER DREHT DEN WASSERHAHN ZU.,10. 彼は蛇口を閉める。,20. かれはじゃぐちをしめる。,20. KARE WA JAGUCHI WO SHIMERU.
2,11. HE GETS THE TOWEL.,11. ELE PEGA A TOALHA.,11. ÉL TOMA LA TOALLA.,11. LUI PRENDE L’ASCIUGAMANO.,11. IL PREND LA SERVIETTE.,11. ER NIMMT DAS HANDTUCH.,11. 彼はタオルを取る。,21. かれはタオルをとる。,21. KARE WA TAORU WO TORU.
2,12. HE DRIES HIS HANDS WITH THE TOWEL.,12. ELE SECA AS MÃOS COM A TOALHA.,12. ÉL SE SÉCA LAS MANOS CON LA TOALLA.,12. LUI SI ASCIUGA LE MANI CON L’ASCIUGAMANO.,12. IL SE SÈCHE LES MAINS AVEC LA SERVIETTE.,12. ER TROCKNET SEINE HÄNDE MIT DEM HANDTUCH.,12. 彼はタオルで手を乾かす。,22. かれはタオルでてをかわかす。,22. KARE WA TAORU DE TE WO KAWAKASU.
2,13. HE PUTS BACK THE TOWEL.,13. ELE COLOCA A TOALHA DE VOLTA.,13. ÉL DEVUELVE LA TOALLA.,13. LUI RIPONE L’ASCIUGAMANO.,13. IL REMET LA SERVIETTE.,13. ER HÄNGT DAS HANDTUCH ZURÜCK.,13. 彼はタオルを元の場所に戻す。,23. かれはタオルをもとのばしょにもどす。,23. KARE WA TAORU WO MOTO NO BASHO NI MODOSU.
2,14. HIS HANDS ARE CLEAN.,14. SUAS MÃOS ESTÃO LIMPAS.,14. SUS MANOS ESTÁN LIMPIAS.,14. LE SUE MANI SONO PULITE.,14. SES MAINS SONT PROPRES.,14. SEINE HÄNDE SIND SAUBER.,14. 彼の手はきれいです。,24. かれのてはきれいです。,24. KARE NO TE WA KIREI DESU.
2,15. HE WHISTLES.,15. ELE ASSOBIA.,15. ÉL SILBA.,15. LUI FISCHIA.,15. IL Siffle.,15. ER PFEIFT.,15. 彼は口笛を吹く。,25. かれはくちぶえをふく。,25. KARE WA KUCHIBUE WO FUKU.
3,1. SHE IS MARY.,1. ELA É MARY.,1. ELLA ES MARY.,1. LEI È MARY.,1. ELLE EST MARY.,1. SIE IST MARY.,1. 彼女はメアリーです。,1. かのじょはメアリーです。,1. KANOJO WA MĒRĪ DESU.
3,2. SHE SPILLS MILK ON THE TABLE.,2. ELA DERRAMA LEITE NA MESA.,2. ELLA DERRAMA LECHE EN LA MESA.,2. LEI SPARA LATTE SUL TAVOLO.,2. ELLE RENVERSE DU LAIT SUR LA TABLE.,2. SIE VERSCHÜTTET MILCH AUF DEN TISCH.,2. 彼女はテーブルに牛乳をこぼす。,2. かのじょはテーブルにぎゅうにゅうをこぼす。,2. KANOJO WA TĒBURU NI GYŪNYŪ WO KOBOSU.
3,3. SHE RUNS TO THE KITCHEN.,3. ELA CORRE PARA A COZINHA.,3. ELLA CORRE A LA COCINA.,3. LEI CORRE IN CUCINA.,3. ELLE COURT À LA CUISINE.,3. SIE RENNT IN DIE KÜCHE.,3. 彼女はキッチンに走る。,3. かのじょはキッチンにはしる。,3. KANOJO WA KITCHIN NI HASHIRU.
3,4. SHE GETS THE TOWEL.,4. ELA PEGA A TOALHA.,4. ELLA TOMA LA TOALLA.,4. LEI PRENDE L’ASCIUGAMANO.,4. ELLE PREND LA SERVIETTE.,4. SIE NIMMT DAS HANDTUCH.,4. 彼女はタオルを取る。,4. かのじょはタオルをとる。,4. KANOJO WA TAORU WO TORU.
3,5. SHE GETS THE TOWEL.,5. ELA PEGA A TOALHA.,5. ELLA TOMA LA TOALLA.,5. LEI PRENDE L’ASCIUGAMANO.,5. ELLE PREND LA SERVIETTE.,5. SIE NIMMT DAS HANDTUCH.,5. 彼女はタオルを取る。,5. かのじょはタオルをとる。,5. KANOJO WA TAORU WO TORU.
3,6. SHE TURNS ON THE FAUCET.,6. ELA LIGA A TORNEIRA.,6. ELLA ABRE EL GRIFO.,6. LEI APRE IL RUBINETTO.,6. ELLE OUVRE LE ROBINET.,6. SIE DREHT DEN WASSERHAHN AUF.,6. 彼女は蛇口をひねる。,6. かのじょはじゃぐちをひねる。,6. KANOJO WA JAGUCHI WO HINERU.
3,7. SHE TWISTS THE TOWEL.,7. ELA TORCE A TOALHA.,7. ELLA RETUERCE LA TOALLA.,7. LEI STRIZZA L’ASCIUGAMANO.,7. ELLE TORD LA SERVIETTE.,7. SIE WRINGT DAS HANDTUCH AUS.,7. 彼女はタオルを絞る。,7. かのじょはタオルをしぼる。,7. KANOJO WA TAORU WO SHIBORU.
3,8. SHE WETS THE TOWEL.,8. ELA MOLHA A TOALHA.,8. ELLA MOJA LA TOALLA.,8. LEI BAGNA L’ASCIUGAMANO.,8. ELLE MOUILLE LA SERVIETTE.,8. SIE BEFEUCHTET DAS HANDTUCH.,8. 彼女はタオルを濡らす。,8. かのじょはタオルをぬらす。,8. KANOJO WA TAORU WO NURASU.
3,9. SHE RUNS BACK TO THE TABLE.,9. ELA CORRE DE VOLTA PARA A MESA.,9. ELLA CORRE DE VUELTA A LA MESA.,9. LEI CORRE DI NUOVO AL TAVOLO.,9. ELLE COURT DE RETOUR À LA TABLE.,9. SIE RENNT ZURÜCK ZUM TISCH.,9. 彼女はテーブルに戻る。,9. かのじょはテーブルにもどる。,9. KANOJO WA TĒBURU NI MODORU.
3,10. SHE CLEANS THE TABLE WITH THE TOWEL.,10. ELA LIMPA A MESA COM A TOALHA.,10. ELLA LIMPIA LA MESA CON LA TOALLA.,10. LEI PULISCE IL TAVOLO CON L’ASCIUGAMANO.,10. ELLE NETTOIE LA TABLE AVEC LA SERVIETTE.,10. SIE REINIGT DEN TISCH MIT DEM HANDTUCH.,10. 彼女はタオルでテーブルを拭く。,10. かのじょはタオルでテーブルをふく。,10. KANOJO WA TAORU DE TĒBURU WO FUKU.
3,11. SHE WALKS BACK TO THE KITCHEN.,11. ELA VOLTA PARA A COZINHA.,11. ELLA VUELVE A LA COCINA.,11. LEI TORNA IN CUCINA.,11. ELLE RETOURNE À LA CUISINE.,11. SIE GEHT ZURÜCK IN DIE KÜCHE.,11. 彼女はキッチンに戻る。,11. かのじょはキッチンにもどる。,11. KANOJO WA KITCHIN NI MODORU.
3,12. SHE WASHES THE TOWEL.,12. ELA LAVA A TOALHA.,12. ELLA LAVA LA TOALLA.,12. LEI LAVA L’ASCIUGAMANO.,12. ELLE LAVE LA SERVIETTE.,12. SIE WÄSCHT DAS HANDTUCH.,12. 彼女はタオルを洗う。,12. かのじょはタオルをあらう。,12. KANOJO WA TAORU WO ARAU.
3,13. SHE HANGS THE TOWEL ON THE FAUCET.,13. ELA PENDURA A TOALHA NA TORNEIRA.,13. ELLA CUELGA LA TOALLA EN EL GRIFO.,13. LEI APPENDE L’ASCIUGAMANO AL RUBINETTO.,13. ELLE ACCROCHE LA SERVIETTE AU ROBINET.,13. SIE HÄNGT DAS HANDTUCH AN DEN WASSERHAHN.,13. 彼女はタオルを蛇口にかける。,13. かのじょはタオルをじゃぐちにかける。,13. KANOJO WA TAORU WO JAGUCHI NI KAKERU.
3,14. SHE WALKS TO THE TABLE.,14. ELA CAMINHA ATÉ A MESA.,14. ELLA CAMINA HACIA LA MESA.,14. LEI CAMMINA VERSO IL TAVOLO.,14. ELLE MARCHE VERS LA TABLE.,14. SIE GEHT ZUM TISCH.,14. 彼女はテーブルに歩く。,14. かのじょはテーブルにあるく。,14. KANOJO WA TĒBURU NI ARUKU.
3,15. SHE DRINKS MILK.,15. ELA BEBE LEITE.,15. ELLA BEBE LECHE.,15. LEI BEVE LATTE.,15. ELLE BOIT DU LAIT.,15. SIE TRINKT MILCH.,15. 彼女は牛乳を飲む。,15. かのじょはぎゅうにゅうをのむ。,15. KANOJO WA GYŪNYŪ WO NOMU.
3,16. HER MOTHER SAYS - DON'T SPILL MILK ON THE TABLE.,16. SUA MÃE DIZ – NÃO DERRAME LEITE NA MESA.,16. SU MADRE DICE – NO DERRAMES LECHE EN LA MESA.,16. SUA MADRE DICE – NON VERSARE IL LATTE SUL TAVOLO.,16. SA MÈRE DIT – NE RENVERSEZ PAS DE LAIT SUR LA TABLE.,16. IHRE MUTTER SAGT – NICHT DIE MILCH AUF DEN TISCH VERSCHÜTTEN.,16. 彼女の母親が言う – テーブルに牛乳をこぼさないで。,16. かのじょのははおやがいう – テーブルにぎゅうにゅうをこぼさないで。,16. KANOJO NO HAHAOYA GA IU – TĒBURU NI GYŪNYŪ WO KOBOSANAIDE.
4,1. JOHN GETS VITAMINS.,1. JOHN PEGA AS VITAMINAS.,1. JOHN TOMA VITAMINAS.,1. JOHN PRENDE LE VITAMINE.,1. JOHN PREND DES VITAMINES.,1. JOHN NIMMT VITAMINE.,1. ジョンはビタミンを取る。,1. ジョンはビタミンをとる。,1. JON WA BITAMIN WO TORU.
4,2. HE TAKES OFF THE LID.,2. ELE REMOVE A TAMPA.,2. ÉL QUITA LA TAPA.,2. LUI TOGLIE IL COPERCHIO.,2. IL ENLÈVE LE COUVERCLE.,2. ER NIMMT DEN DECKEL AB.,2. 彼は蓋を取る。,2. かれはふたをとる。,2. KARE WA FUTA WO TORU.
4,3. HE GETS ONE VITAMIN.,3. ELE PEGA UMA VITAMINA.,3. ÉL TOMA UNA VITAMINA.,3. LUI PRENDE UNA VITAMINA.,3. IL PREND UNE VITAMINE.,3. ER NIMMT EINE VITAMIN.,3. 彼はビタミンを1つ取る。,3. かれはビタミンをひとつとる。,3. KARE WA BITAMIN WO HITOTSU TORU.
4,4. HE PUTS BACK THE LID. HE PUTS ON THE LID.,4. ELE COLOCA A TAMPA DE VOLTA. ELE COLOCA A TAMPA.,4. ÉL PONE LA TAPA DE VUELTA. ÉL PONE LA TAPA.,4. LUI RIPONE IL COPERCHIO. LUI METTE IL COPERCHIO.,4. IL REMET LE COUVERCLE. IL MET LE COUVERCLE.,4. ER SETZT DEN DECKEL ZURÜCK. ER SETZT DEN DECKEL AUF.,4. 彼は蓋を戻す。彼は蓋を置く。,4. かれはふたをもどす。かれはふたをおく。,4. KARE WA FUTA WO MODOSU. KARE WA FUTA WO OKU.
4,5. HE PUTS DOWN THE VITAMINS.,5. ELE COLOCA AS VITAMINAS NO LUGAR.,5. ÉL DEJA LAS VITAMINAS.,5. LUI RIPONE LE VITAMINE.,5. IL REPOSE LES VITAMINES.,5. ER LEGT DIE VITAMINE ZURÜCK.,5. 彼はビタミンを置く。,5. かれはビタミンをおく。,5. KARE WA BITAMIN WO OKU.
4,6. HE TAKES ONE VITAMIN.,6. ELE PEGA UMA VITAMINA.,6. ÉL TOMA UNA VITAMINA.,6. LUI PRENDE UNA VITAMINA.,6. IL PREND UNE VITAMINE.,6. ER NIMMT EINE VITAMIN.,6. 彼はビタミンを1つ取る。,6. かれはビタミンをひとつとる。,6. KARE WA BITAMIN WO HITOTSU TORU.
4,7. HE DRINKS WATER.,7. ELE BEBE ÁGUA.,7. ÉL BEBE AGUA.,7. LUI BEVE ACQUA.,7. IL BOIT DE L’EAU.,7. ER TRINKT WASSER.,7. 彼は水を飲む。,7. かれはみずをのむ。,7. KARE WA MIZU WO NOMU.
4,8. HE CHOKES.,8. ELE ENGASGA.,8. ÉL SE ATRAGANTA.,8. LUI SI SOFFOCA.,8. IL S’ÉTOUFFE.,8. ER HÄLT SICH DEN HALS.,8. 彼はむせる。,8. かれはむせる。,8. KARE WA MUSERU.
4,9. HE DRINKS MORE WATER.,9. ELE BEBE MAIS ÁGUA.,9. ÉL BEBE MÁS AGUA.,9. LUI BEVE PIÙ ACQUA.,9. IL BOIT PLUS D’EAU.,9. ER TRINKT MEHR WASSER.,9. 彼はさらに水を飲む。,9. かれはさらにみずをのむ。,9. KARE WA SARANI MIZU WO NOMU.
4,10. HE SWALLOWS.,10. ELE ENGOLE.,10. ÉL TRAGA.,10. LUI DEGLUTISCE.,10. IL AVALÉ.,10. ER SCHLUCKT.,10. 彼は飲み込む。,10. かれはのみこむ。,10. KARE WA NOMIKOMU.
5,1. JANE GETS A SLICE OF BREAD.,1. JANE PEGA UMA FATIA DE PÃO.,1. JANE TOMA UNA REBANADA DE PAN.,1. JANE PRENDE UNA FETTA DI PANE.,1. JANE PREND UNE TRANCHE DE PAIN.,1. JANE NIMMT EINE SCHEIBE BROT.,1. ジェーンはパンを1枚取る。,1. ジェーンはパンを1まいとる。,1. JĒN WA PAN WO 1 MAI TORU.
5,2. SHE PUTS THE SLICE OF BREAD IN THE TOASTER.,2. ELA COLOCA A FATIA DE PÃO NA TORRADEIRA.,2. ELLA PONE LA REBANADA DE PAN EN LA TOSTADORA.,2. LEI METTE LA FETTA DI PANE NEL TOAST.,2. ELLE MET LA TRANCHE DE PAIN DANS LE GRILLE-PAIN.,2. SIE LEGT DIE BROTSCHEIBE IN DEN TOASTER.,2. 彼女はパンをトースターに入れる。,2. かのじょはパンをトースターにいれる。,2. KANOJO WA PAN WO TŌSUTĀ NI IRERU.
5,3. SHE TURNS ON THE TOASTER.,3. ELA LIGA A TORRADEIRA.,3. ELLA ENCIENDE LA TOSTADORA.,3. LEI ACCENDE IL TOAST.,3. ELLE ALLUME LE GRILLE-PAIN.,3. SIE SCHALTET DEN TOASTER EIN.,3. 彼女はトースターをつける。,3. かのじょはトースターをつける。,3. KANOJO WA TŌSUTĀ WO TSUKERU.
5,4. SHE WAITS SIXTY SECONDS.,4. ELA ESPERA SESSENTA SEGUNDOS.,4. ELLA ESPERA SESENTA SEGUNDOS.,4. LEI ASPETTA SESSANTA SECONDI.,4. ELLE ATTEND SOIXANTE SECONDES.,4. SIE WARTET SECHZIG SEKUNDEN.,4. 彼女は60秒待つ。,4. かのじょは60びょうまつ。,4. KANOJO WA 60 BYŌ MATSU.
5,5. THE TOAST IS READY.,5. O TOAST ESTÁ PRONTO.,5. EL PAN ESTÁ LISTO.,5. IL TOAST È PRONTO.,5. LE PAIN GRILLÉ EST PRÊT.,5. DER TOAST IST FERTIG.,5. トーストができた。,5. トーストができた。,5. TŌSUTO GA DEKITA.
5,6. SHE GETS THE TOAST OUT OF THE TOASTER.,6. ELA RETIRA O TOAST DA TORRADEIRA.,6. ELLA SACA EL PAN DEL TOASTER.,6. LEI TOGLIE IL TOAST DAL TOAST.,6. ELLE SORT LE PAIN DU GRILLE-PAIN.,6. SIE NIMMT DEN TOAST AUS DEM TOASTER.,6. 彼女はトーストをトースターから出す。,6. かのじょはトーストをトースターからだす。,6. KANOJO WA TŌSUTO WO TŌSUTĀ KARA DASU.
5,7. SHE PUTS THE TOAST ON THE PLATE.,7. ELA COLOCA O TOAST NO PRATO.,7. ELLA PONE EL PAN EN EL PLATO.,7. LEI METTE IL TOAST SUL PIATTO.,7. ELLE MET LE PAIN SUR L’ASSIETTE.,7. SIE LEGT DEN TOAST AUF DEN TELLER.,7. 彼女はトーストを皿に置く。,7. かのじょはトーストをさらににおく。,7. KANOJO WA TŌSUTO WO ZARU NI OKU.
5,8. SHE GETS A KNIFE AND BUTTER.,8. ELA PEGA UMA FACA E MANTEIGA.,8. ELLA TOMA UN CUCHILLO Y MANTEQUILLA.,8. LEI PRENDE UN COLTELLO E IL BURRO.,8. ELLE PREND UN COUTEAU ET DU BEURRE.,8. SIE NIMMT EIN MESSER UND BUTTER.,8. 彼女はナイフとバターを取る。,8. かのじょはナイフとバターをとる。,8. KANOJO WA NAIFU TO BATĀ WO TORU.
5,9. SHE SPREADS BUTTER ON THE TOAST WITH A KNIFE.,9. ELA PASSA MANTEIGA NO TOAST COM A FACA.,9. ELLA UNTA MANTEQUILLA EN EL PAN CON EL CUCHILLO.,9. LEI SPALMA IL BURRO SUL TOAST CON IL COLTELLO.,9. ELLE ÉTALER DU BEURRE SUR LE PAIN AVEC LE COUTEAU.,9. SIE STREICHT BUTTER AUF DEN TOAST MIT DEM MESSER.,9. 彼女はナイフでトーストにバターを塗る。,9. かのじょはナイフでトーストにバターをぬる。,9. KANOJO WA NAIFU DE TŌSUTO NI BATĀ WO NURU.
5,10. SHE GETS JAM.,10. ELA PEGA GELEIA.,10. ELLA TOMA MERMELADA.,10. LEI PRENDE LA MARMELLATA.,10. ELLE PREND DE LA CONFITURE.,10. SIE NIMMT MARMELADE.,10. 彼女はジャムを取る。,10. かのじょはジャムをとる。,10. KANOJO WA JAMU WO TORU.
5,11. SHE PUTS JAM ON THE TOAST WITH A SPOON.,11. ELA COLOCA GELEIA NO TOAST COM UMA COLHER.,11. ELLA PONE MERMELADA EN EL PAN CON UNA CUCHARA.,11. LEI METTE LA MARMELLATA SUL TOAST CON UN CUCCHIAIO.,11. ELLE MET LA CONFITURE SUR LE PAIN AVEC UNE CUILLÈRE.,11. SIE STREICHT MARMELADE AUF DEN TOAST MIT EINEM LÖFFEL.,11. 彼女はスプーンでトーストにジャムを塗る。,11. かのじょはスプーンでトーストにジャムをぬる。,11. KANOJO WA SUPŪN DE TŌSUTO NI JAMU WO NURU.
5,12. SHE SPREADS JAM ON THE TOAST WITH THE KNIFE.,12. ELA ESPALHA GELEIA NO TOAST COM A FACA.,12. ELLA UNTA MERMELADA EN EL PAN CON EL CUCHILLO.,12. LEI SPALMA LA MARMELLATA SUL TOAST CON IL COLTELLO.,12. ELLE ÉTALER LA CONFITURE SUR LE PAIN AVEC LE COUTEAU.,12. SIE STREICHT MARMELADE AUF DEN TOAST MIT DEM MESSER.,12. 彼女はナイフでトーストにジャムを塗る。,12. かのじょはナイフでトーストにジャムをぬる。,12. KANOJO WA NAIFU DE TŌSUTO NI JAMU WO NURU.
5,13. SHE CUTS THE TOAST.,13. ELA CORTA O TOAST.,13. ELLA CORTA EL PAN.,13. LEI TAGLIA IL TOAST.,13. ELLE COUPE LE PAIN.,13. SIE SCHNEIDET DEN TOAST.,13. 彼女はトーストを切る。,13. かのじょはトーストをきる。,13. KANOJO WA TŌSUTO WO KIRU.
5,14. SHE CUTS THE TOAST (CLOSEUP).,14. ELA CORTA O TOAST (CLOSEUP).,14. ELLA CORTA EL PAN (PRIMER PLANO).,14. LEI TAGLIA IL TOAST (PRIMO PIANO).,14. ELLE COUPE LE PAIN (GROS PLAN).,14. SIE SCHNEIDET DEN TOAST (NAHAUFNAHME).,14. 彼女はトーストを切る（クローズアップ）。,14. かのじょはトーストをきる（クローズアップ）。,14. KANOJO WA TŌSUTO WO KIRU (KURŌZUPPU).
5,15. SHE GETS ONE HALF OF THE TOAST.,15. ELA PEGA METADE DO TOAST.,15. ELLA TOMA LA MITAD DEL PAN.,15. LEI PRENDE META’ DEL TOAST.,15. ELLE PREND LA MOITIÉ DU PAIN.,15. SIE NIMMT DIE HÄLFTE DES TOASTS.,15. 彼女はトーストの半分を取る。,15. かのじょはトーストのはんぶんをとる。,15. KANOJO WA TŌSUTO NO HANBUN WO TORU.
5,16. SHE BITES THE TOAST.,16. ELA MORD O TOAST.,16. ELLA MUERDE EL PAN.,16. LEI MORDE IL TOAST.,16. ELLE MORD LE PAIN.,16. SIE BEISST DEN TOAST.,16. 彼女はトーストをかじる。,16. かのじょはトーストをかじる。,16. KANOJO WA TŌSUTO WO KAJIRU.
5,17. SHE CHEWS.,17. ELA MASTIGA.,17. ELLA MASTICA.,17. LEI MASTICA.,17. ELLE MÂCHE.,17. SIE KAUEN.,17. 彼女は噛む。,17. かのじょはかむ。,17. KANOJO WA KAMU.
6,1. MARINA WAKES UP.,1. MARINA ACORDA.,1. MARINA SE DESPIERTA.,1. MARINA SI SVEGLIA.,1. MARINA SE RÉVEILLE.,1. MARINA WACHT AUF.,1. マリナが目を覚ます。,1. マリナがめをさます。,1. MARINA GA ME WO SAMASU.
6,2. SHE WALKS TO THE KITCHEN.,2. ELA CAMINHA ATÉ A COZINHA.,2. ELLA CAMINA HACIA LA COCINA.,2. LEI CAMMINA IN CUCINA.,2. ELLE MARCHE VERS LA CUISINE.,2. SIE GEHT IN DIE KÜCHE.,2. 彼女はキッチンに歩く。,2. かのじょはキッチンにあるく。,2. KANOJO WA KITCHIN NI ARUKU.
