Story,File,en,pt,es,it,fr,de,ja,HIRAGANA,ROMAJI,nl,,,,,,
3,,MOTHER – FATHER,MÃE – PAI,MADRE – PADRE,MADRE – PADRE,MÈRE – PÈRE,MUTTER – VATER,母 – 父,はは – ちち,HAHA – CHICHI,MOEDER – VADER,,,,,,
3,,WIPE,LIMPAR,LIMPIAR,PULIRE,ESSUYER,ABWISCHEN,拭く,ふく,FUKU,AFVEGEN,,,,,,
3,,WIPE TABLE,LIMPAR A MESA,LIMPIAR LA MESA,PULIRE IL TAVOLO,ESSUYER LA TABLE,TISCH ABWISCHEN,テーブルを拭く,てーぶるをふく,TE-BURU O FUKU,TAFEL AFVEGEN,,,,,,
3,,WITH – WITHOUT,COM – SEM,CON – SIN,CON – SENZA,AVEC – SANS,MIT – OHNE,あり – なし,あり – なし,ARI – NASHI,MET – ZONDER,,,,,,
3,,CLEAN – DIRTY,LIMPO – SUJO,LIMPIO – SUCIO,PULITO – SPORCO,PROPRE – SALE,SAUBER – SCHMUTZIG,綺麗 – 汚い,きれい – きたない,KIREI – KITANAI,SCHOON – VIES,,,,,,
3,,GET TOWEL – PUT BACK TOWEL,PEGAR TOALHA – DEVOLVER TOALHA,AGARRAR TOALLA – VOLVER A PONER TOALLA,PRENDERE ASCIUGAMANO – RIMETTERE ASCIUGAMANO,PRENDRE SERVIETTE – REMETTRE SERVIETTE,HANDTUCH NEHMEN – ZURÜCKLEGEN,タオルを取る – 戻す,たおるをとる – もどす,TAORU O TORU – MODOSU,HANDDOEK PAKKEN – TERUGLEGGEN,,,,,,
3,,DRINK,BEBER,BEBER,BERE,BOIRE,TRINKEN,飲む,のむ,NOMU,DRINKEN,,,,,,
3,,SHE SAYS – DON’T SPILL MILK ON THE TABLE,ELA DIZ – NÃO DERRAME LEITE NA MESA,ELLA DICE – NO DERRAMES LECHE EN LA MESA,LEI DICE – NON VERSARE IL LATTE SUL TAVOLO,ELLE DIT – NE RENVERSE PAS DE LAIT SUR LA TABLE,SIE SAGT – KEINE MILCH AUF DEN TISCH SCHÜTTEN,彼女は言う「テーブルに牛乳をこぼさないで」,かのじょはいいう「てーぶるにぎゅうにゅうをこぼさないで」,KANOJO WA IU “TE-BURU NI GYUUNYUU O KOBOSANAI DE”,ZIJ ZEGT – MORST GEEN MELK OP DE TAFEL,,,,,,
4,,GET TOWEL,PEGAR TOALHA,AGARRAR TOALLA,PRENDERE ASCIUGAMANO,PRENDRE SERVIETTE,HANDTUCH NEHMEN,タオルを取る,たおるをとる,TAORU O TORU,HANDDOEK PAKKEN,,,,,,
4,,APPLE,MAÇÃ,MANZANA,MELA,POMME,APFEL,林檎,りんご,RINGO,APPEL,,,,,,
4,,GET APPLE,PEGAR MAÇÃ,AGARRAR MANZANA,PRENDERE MELA,PRENDRE POMME,APFEL NEHMEN,林檎を取る,りんごをとる,RINGO O TORU,APPEL PAKKEN,,,,,,
4,,CHOKE,ENGASGAR,ATRAGANTARSE,SOFFOCARE,S’ÉTOUFFER,ERSTICKEN,母せる,もせる,MUSERU,VERSTIKKEN,,,,,,
4,,CHOKE ON APPLE,ENGASGAR COM MAÇÃ,ATRAGANTARSE CON MANZANA,SOFFOCARE CON LA MELA,S’ÉTOUFFER AVEC UNE POMME,SICH AN EINEM APFEL VERSCHLUCKEN,林檎で母せる,りんごでもせる,RINGO DE MUSERU,ZICH VERSTIKKEN IN APPEL,,,,,,
4,,DRINK WATER,BEBER ÁGUA,BEBER AGUA,BERE ACQUA,BOIRE DE L’EAU,WASSER TRINKEN,水を飲む,みずをのむ,MIZU O NOMU,WATER DRINKEN,,,,,,
4,,DRINK MORE WATER,BEBER MAIS ÁGUA,BEBER MÁS AGUA,BERE PIÙ ACQUA,BOIRE PLUS D’EAU,MEHR WASSER TRINKEN,もっと水を飲む,もっとみずをのむ,MOTTO MIZU O NOMU,MEER WATER DRINKEN,,,,,,
4,,SWALLOW,ENGOLIR,TRAGAR,INGOIARE,AVALER,SCHLUCKEN,飲み込む,のみこむ,NOMIKOMU,DOORSLIKKEN,,,,,,
4,,FEEL BETTER,SENTIR-SE MELHOR,SENTIRSE MEJOR,SENTIRSI MEGLIO,SE SENTIR MIEUX,SICH BESSER FÜHLEN,楽になる,らくになる,RAKU NI NARU,ZICH BETER VOELEN,,,,,,
4,,SMILE,SORRISO,SONRISA,SORRISO,SOURIRE,LÄCHELN,笑顔,えがお,EGAO,GLIMLACH,,,,,,
5,,BOWL,TIGELA,BOL,CIOTOLA,BOL,BOWL,ボール,ぼーる,BO-RU,KOM,,,,,,
5,,OATMEAL,AVEIA,AVENA,AVENA,FLOCONS D’AVOINE,HAFERFLOCKEN,覗く,おーとみる,O-TO MI-RU,HAVERMOUT,,,,,,
5,,BOWL OF OATMEAL,TIGELA DE AVEIA,BOL DE AVENA,CIOTOLA DI AVENA,BOL DE FLOCONS D’AVOINE,SCHÜSSEL MIT HAFERFLOCKEN,覗くのボール,おーとみるのぼーる,O-TO MI-RU NO BO-RU,KOM MET HAVERMOUT,,,,,,
5,,MICROWAVE,MICRO-ONDAS,MICROONDAS,MICROONDE,FOUR À MICRO-ONDES,MIKROWELLE,電子レンジ,でんしれんじ,DENSHI RENJI,MAGNETRON,,,,,,
5,,PUT BOWL IN MICROWAVE,COLOCAR TIGELA NO MICRO-ONDAS,PONER BOL EN EL MICROONDAS,METTERE LA CIOTOLA NEL MICROONDE,METTRE LE BOL AU MICRO-ONDES,SCHÜSSEL IN DIE MIKROWELLE STELLEN,ボールを電子レンジに入れる,ぼーるをでんしれんじにいれる,BO-RU O DENSHI RENJI NI IRERU,KOM IN MAGNETRON ZETTEN,,,,,,
5,,WAIT,ESPERAR,ESPERAR,ASPETTARE,ATTENDRE,WARTEN,待つ,まつ,MATSU,WACHTEN,,,,,,
5,,WAIT SIXTY SECONDS,ESPERAR SESSENTA SEGUNDOS,ESPERAR SESENTA SEGUNDOS,ASPETTARE SESSANTA SECONDI,ATTENDRE SOIXANTE SECONDES,SECHZIG SEKUNDEN WARTEN,60秒待つ,ろくじゅうびょうまつ,ROKUJUU BYOU MATSU,ZESTIG SECONDEN WACHTEN,,,,,,
5,,FOOD,COMIDA,COMIDA,CIBO,NOURRITURE,ESSEN,食べ物,たべもの,TABEMONO,ETEN,,,,,,
5,,FOOD IS READY,COMIDA ESTÁ PRONTA,LA COMIDA ESTÁ LISTA,IL CIBO È PRONTO,LA NOURRITURE EST PRÊTE,DAS ESSEN IST FERTIG,食べ物ができた,たべものができた,TABEMONO GA DEKITA,HET ETEN IS KLAAR,,,,,,
5,,SPOON ,COLHER,CUCHARA,CUCCHIAIO,CUILLÈRE,LÖFFEL,スプーン,すぷーん,SUPU-N,LEPEL,,,,,,
5,,SUGAR,AÇÚCAR,AZÚCAR,ZUCCHERO,SUCRE,ZUCKER,砂糖,さとう,SATOU,SUIKER,,,,,,
5,,PUT SUGAR IN OATMEAL,COLOCAR AÇÚCAR NA AVEIA,PONER AZÚCAR EN LA AVENA,METTERE ZUCCHERO NELL’AVENA,METTRE DU SUCRE DANS L’AVOINE,ZUCKER IN DIE HAFERFLOCKEN GEBEN,覗くに砂糖を入れる,おーとみるにさとうをいれる,O-TO MI-RU NI SATOU O IRERU,SUIKER IN HAVERMOUT DOEN,,,,,,
5,,WITH A SPOON ,COM UMA COLHER,CON UNA CUCHARA,CON UN CUCCHIAIO,AVEC UNE CUILLÈRE,MIT EINEM LÖFFEL,スプーンで,すぷーんで,SUPU-N DE,MET EEN LEPEL,,,,,,
5,,HONEY,MEL,MIEL,MIELE,MIEL,HONIG,蜂蜜,はちみつ,HACHIMITSU,HONING,,,,,,
5,,PUT HONEY ON THE OATMEAL,COLOCAR MEL NA AVEIA,PONER MIEL SOBRE LA AVENA,METTERE MIELE SULL’AVENA,METTRE DU MIEL SUR L’AVOINE,HONIG AUF DIE HAFERFLOCKEN GEBEN,覗くに蜂蜜をかける,おーとみるにはちみつをかける,O-TO MI-RU NI HACHIMITSU O KAKERU,HONING OP HAVERMOUT DOEN,,,,,,
5,,SCOOP ,???,SCOOP,PRENDERE,PRENDRE,SCHÖPFEN,すくう,すくう,SUKUU,OPSCHPPEN,,,,,,
5,,ICE CREAM,SORVETE,HELADO,GELATO,GLACE,EISCREME,アイスクリーム,あいすくりーむ,AISU KURI-MU,IJS,,,,,,
5,,SCOOP ICE CREAM WITH SPOON,PEGAR SORVETE COM COLHER,COGER HELADO CON CUCHARA,PRENDERE GELATO CON CUCCHIAIO,PRENDRE DE LA GLACE AVEC UNE CUILLÈRE,EIS MIT LÖFFEL NEHMEN,スプーンでアイスをすくう,すぷーんであいすをすくう,SUPU-N DE AISU O SUKUU,IJS MET LEPEL OPSCHEPPEN,,,,,,
5,,EAT ,COMER,COMER,MANGIARE,MANGER,ESSEN,食べる,たべる,TABERU,ETEN,,,,,,
5,,EAT APPLE,COMER MAÇÃ,COMER MANZANA,MANGIARE MELA,MANGER UNE POMME,APFEL ESSEN,林檎を食べる,りんごをたべる,RINGO O TABERU,APPEL ETEN,,,,,,
5,,EAT OATMEAL,COMER AVEIA,COMER AVENA,MANGIARE AVENA,MANGER DE L’AVOINE,HAFERFLOCKEN ESSEN,覗くを食べる,おーとみるをたべる,O-TO MI-RU O TABERU,HAVERMOUT ETEN,,,,,,
5,,ONE SPOON – TWO SPOONS,UMA COLHER – DUAS COLHERES,UNA CUCHARA – DOS CUCHARAS,UN CUCCHIAIO – DUE CUCCHIAI,UNE CUILLÈRE – DEUX CUILLÈRES,EIN LÖFFEL – ZWEI LÖFFEL,スプーンいっぱい – 二杯,すぷーんいっぱい – にはい,SUPU-N IPPAI – NIHAl,ÉÉN LEPEL – TWEE LEPELS,,,,,,
5,,CHEW,MASTIGAR,MASTICAR,MASTICARE,MÂCHER,KAUEN,噛む,かむ,KAMU,KAUWEN,,,,,,
6,,WAKE UP,ACORDAR,DESPERTAR,SVEGLIARSI,SE RÉVEILLER,AUFWACHEN,起きる,おきる,OKIRU,ONTWAKEN,,,,,,
6,,WALK – RUN,ANDAR – CORRER,CAMINAR – CORRER,CAMMINARE – CORRERE,MARCHER – COURIR,GEHEN – RENNEN,歩く – 走る,あるく – はしる,ARUKU – HASHIRU,LOPEN – RENNEN,,,,,,
6,,KITCHEN,COZINHA,COCINA,CUCINA,CUISINE,KÜCHE,キッチン,きっちん,KITCHIN,KEUKEN,,,,,,
6,,LIVING ROOM,SALA DE ESTAR,SALA DE ESTAR,SALOTTO,SALON,WOHNZIMMER,リビング,りびんぐ,RIBINGU,WOONKAMER,,,,,,
6,,FILL – EMPTY,ENCHER – ESVAZIAR,LLENAR – VACIAR,RIEMPIRE – SVUOTARE,REMPLIR – VIDER,FÜLLEN – LEEREN,満たす – 空にする,みたす – からにする,MITASU – KARA NI SURU,VULLEN – LEEGMAKEN,,,,,,
6,,COFFEE,CAFÉ,CAFÉ,CAFFÈ,CAFÉ,KAFFEE,コーヒー,こーひー,KO-HI-,KOFFIE,,,,,,
6,,COFFEE MACHINE,MÁQUINA DE CAFÉ,CAFETERA,MACCHINA DEL CAFFÈ,MACHINE À CAFÉ,KAFFEEMASCHINE,コーヒーメーカー,こーひーめーかー,KO-HI- ME-KA-,KOFFIEMACHINE,,,,,,
6,,JUICE,SUCO,ZUMO,SUCCO,JUS,SAFT,ジュース,じゅーす,JUU-SU,SAP,,,,,,
6,,FILL COFFEE MACHINE WITH JUICE,ENCHER MÁQUINA DE CAFÉ COM SUCO,LLENAR CAFETERA CON ZUMO,RIEMPIRE MACCHINA DEL CAFFÈ CON SUCCO,REMPLIR LA MACHINE À CAFÉ AVEC DU JUS,KAFFEEMASCHINE MIT SAFT FÜLLEN,コーヒーメーカーにジュースを入れる,こーひーめーかーにじゅーすをいれる,KO-HI- ME-KA- NI JUU-SU O IRERU,KOFFIEMACHINE MET SAP VULLEN,,,,,,
6,,FILTER,FILTRO,FILTRO,FILTRO,FILTRE,FILTER,フィルター,ふぃるたー,FIRUTA-,FILTER,,,,,,
6,,IN THE FILTER,NO FILTRO,EN EL FILTRO,NEL FILTRO,DANS LE FILTRE,IM FILTER,フィルターの中に,ふぃるたーのなかに,FIRUTA- NO NAKA NI,IN HET FILTER,,,,,,
